p_milk_dairy, p_wheat, p_eggs, p_legumes_soy, p_seafood, p_nuts, p_unknown_allergy, p_one_allergy, p_two_allergy,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.398634,0.698923,0.260986,0.162098,0.183744,0.0757257,0.149588,0.401845,0.386763,
0.398634,0.698923,0.260986,0.162098,0.183744,0.0757257,0.149588,0.401845,0.386763,
0.398634,0.698923,0.260986,0.162098,0.183744,0.0757257,0.149588,0.401845,0.386763,
0.398634,0.698923,0.260986,0.162098,0.183744,0.0757257,0.149588,0.401845,0.386763,
0.389306,0.668025,0.266107,0.150545,0.155884,0.0761116,0.161816,0.421116,0.388671,
0.415552,0.665453,0.281562,0.185424,0.177433,0.0920189,0.164302,0.441293,0.378231,
0.414051,0.681689,0.302134,0.175732,0.160203,0.0899909,0.159155,0.451096,0.372876,
0.414051,0.681689,0.302134,0.175732,0.160203,0.0899909,0.159155,0.451096,0.372876,
0.414051,0.681689,0.302134,0.175732,0.160203,0.0899909,0.159155,0.451096,0.372876,
0.414051,0.681689,0.302134,0.175732,0.160203,0.0899909,0.159155,0.451096,0.372876,
0.408884,0.6961,0.266068,0.170133,0.147503,0.0935743,0.138871,0.440639,0.368956,
0.423129,0.673542,0.265761,0.185044,0.136141,0.098711,0.122264,0.468226,0.359886,
0.43008,0.675045,0.267698,0.167054,0.146095,0.0926468,0.12829,0.436029,0.376289,
0.425318,0.712045,0.247391,0.142908,0.146344,0.0963188,0.130285,0.447996,0.348977,
0.403715,0.704833,0.232658,0.113421,0.1624,0.102474,0.139687,0.444045,0.307093,
0.418814,0.667588,0.242334,0.0964637,0.133973,0.0918751,0.149795,0.453103,0.275659,
0.418814,0.667588,0.242334,0.0964637,0.133973,0.0918751,0.149795,0.453103,0.275659,
0.418814,0.667588,0.242334,0.0964637,0.133973,0.0918751,0.149795,0.453103,0.275659,
0.441363,0.65039,0.234085,0.119024,0.153036,0.0924143,0.142914,0.448568,0.278578,
0.441363,0.65039,0.234085,0.119024,0.153036,0.0924143,0.142914,0.448568,0.278578,
0.491179,0.6603,0.257338,0.0875095,0.145654,0.105032,0.143032,0.448365,0.258413,
0.479428,0.660929,0.259805,0.0897704,0.143366,0.11379,0.12414,0.459541,0.25525,
0.479428,0.660929,0.259805,0.0897704,0.143366,0.11379,0.12414,0.459541,0.25525,
0.50048,0.660473,0.259215,0.102892,0.137993,0.109298,0.1272,0.434872,0.261005,
0.50048,0.660473,0.259215,0.102892,0.137993,0.109298,0.1272,0.434872,0.261005,
0.50048,0.660473,0.259215,0.102892,0.137993,0.109298,0.1272,0.434872,0.261005,
0.522554,0.645921,0.272322,0.100254,0.129538,0.104662,0.118667,0.463453,0.246876,
0.494063,0.623006,0.2628,0.0907321,0.129168,0.0744676,0.107399,0.486971,0.249852,
0.494063,0.623006,0.2628,0.0907321,0.129168,0.0744676,0.107399,0.486971,0.249852,
0.480093,0.643728,0.246467,0.11011,0.11535,0.0589383,0.111972,0.507126,0.256326,
0.498535,0.661573,0.251678,0.130008,0.10589,0.0576338,0.133546,0.514009,0.23061,
0.498535,0.661573,0.251678,0.130008,0.10589,0.0576338,0.133546,0.514009,0.23061,
0.498535,0.661573,0.251678,0.130008,0.10589,0.0576338,0.133546,0.514009,0.23061,
0.513604,0.642038,0.22526,0.12467,0.0963314,0.0484773,0.107553,0.512838,0.198785,
0.513604,0.642038,0.22526,0.12467,0.0963314,0.0484773,0.107553,0.512838,0.198785,
0.511796,0.5991,0.24329,0.100766,0.1087,0.0721367,0.118966,0.552425,0.175513,
0.511796,0.5991,0.24329,0.100766,0.1087,0.0721367,0.118966,0.552425,0.175513,
0.511796,0.5991,0.24329,0.100766,0.1087,0.0721367,0.118966,0.552425,0.175513,
0.511796,0.5991,0.24329,0.100766,0.1087,0.0721367,0.118966,0.552425,0.175513,
0.511796,0.5991,0.24329,0.100766,0.1087,0.0721367,0.118966,0.552425,0.175513,
0.52838,0.594083,0.212323,0.100862,0.106777,0.0782394,0.11707,0.567867,0.178815,
0.52838,0.594083,0.212323,0.100862,0.106777,0.0782394,0.11707,0.567867,0.178815,
0.512647,0.621249,0.216617,0.102881,0.0935125,0.0757269,0.101933,0.57219,0.177538,
0.512647,0.621249,0.216617,0.102881,0.0935125,0.0757269,0.101933,0.57219,0.177538,
0.469031,0.590433,0.197769,0.119977,0.100086,0.0659586,0.0916699,0.564581,0.192208,
0.478492,0.604149,0.206002,0.121894,0.0961562,0.0350675,0.0956569,0.569339,0.203201,
0.478492,0.604149,0.206002,0.121894,0.0961562,0.0350675,0.0956569,0.569339,0.203201,
0.488454,0.611793,0.204014,0.108736,0.11788,0.0325082,0.0874027,0.540958,0.192054,
0.494144,0.608133,0.200636,0.101276,0.104797,0.0584805,0.0833905,0.549879,0.220206,
0.496197,0.624966,0.165396,0.0802919,0.122434,0.0681743,0.0954086,0.513006,0.215618,
0.496197,0.624966,0.165396,0.0802919,0.122434,0.0681743,0.0954086,0.513006,0.215618,
0.480035,0.588081,0.21318,0.0909839,0.121418,0.0739967,0.0953606,0.515253,0.24413,
0.480035,0.588081,0.21318,0.0909839,0.121418,0.0739967,0.0953606,0.515253,0.24413,
0.450955,0.634756,0.258428,0.0967246,0.118425,0.0819363,0.122755,0.502248,0.257672,
0.450955,0.634756,0.258428,0.0967246,0.118425,0.0819363,0.122755,0.502248,0.257672,
0.450955,0.634756,0.258428,0.0967246,0.118425,0.0819363,0.122755,0.502248,0.257672,
0.446908,0.633077,0.241455,0.122131,0.109864,0.0677714,0.138971,0.495797,0.266672,
0.478741,0.614274,0.27397,0.165494,0.107025,0.068185,0.172689,0.485334,0.265254,
0.459727,0.621156,0.225281,0.196134,0.123172,0.0476393,0.162651,0.445504,0.268937,
0.459727,0.621156,0.225281,0.196134,0.123172,0.0476393,0.162651,0.445504,0.268937,
0.4641,0.603273,0.200067,0.194803,0.153911,0.0435943,0.160311,0.462685,0.253856,
0.4641,0.603273,0.200067,0.194803,0.153911,0.0435943,0.160311,0.462685,0.253856,
0.4641,0.603273,0.200067,0.194803,0.153911,0.0435943,0.160311,0.462685,0.253856,
0.458609,0.577808,0.202055,0.175011,0.152493,0.0653994,0.184204,0.433456,0.25435,
0.458609,0.577808,0.202055,0.175011,0.152493,0.0653994,0.184204,0.433456,0.25435,
0.456786,0.583018,0.211386,0.14737,0.141171,0.0603482,0.183584,0.429079,0.257696,
0.463551,0.559177,0.252928,0.136681,0.107278,0.0633073,0.17231,0.427352,0.255783,
0.449932,0.551598,0.237149,0.128003,0.0933243,0.0734112,0.154456,0.446215,0.250385,
0.418834,0.540378,0.226561,0.13248,0.0909806,0.0803773,0.130907,0.470929,0.271541,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.409062,0.567024,0.234625,0.147895,0.102967,0.0584684,0.119038,0.521179,0.261767,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.421105,0.548783,0.249218,0.178356,0.0887528,0.060652,0.11007,0.55873,0.250001,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.403915,0.5598,0.233892,0.164205,0.0994837,0.061586,0.116214,0.553221,0.241986,
0.398143,0.563279,0.244149,0.16749,0.11836,0.0741692,0.137524,0.558143,0.241211,
0.407489,0.559898,0.237524,0.159114,0.114069,0.0532939,0.139087,0.5807,0.226285,
0.407489,0.559898,0.237524,0.159114,0.114069,0.0532939,0.139087,0.5807,0.226285,
0.407489,0.559898,0.237524,0.159114,0.114069,0.0532939,0.139087,0.5807,0.226285,
0.407489,0.559898,0.237524,0.159114,0.114069,0.0532939,0.139087,0.5807,0.226285,
0.407489,0.559898,0.237524,0.159114,0.114069,0.0532939,0.139087,0.5807,0.226285,
0.429805,0.581274,0.239375,0.166561,0.125401,0.0701695,0.138383,0.589017,0.211472,
0.436252,0.626546,0.212063,0.17485,0.116037,0.0713498,0.106838,0.570102,0.218104,
0.42284,0.614558,0.216461,0.160965,0.130531,0.0496706,0.122758,0.584997,0.219072,
0.42284,0.614558,0.216461,0.160965,0.130531,0.0496706,0.122758,0.584997,0.219072,
0.42284,0.614558,0.216461,0.160965,0.130531,0.0496706,0.122758,0.584997,0.219072,
0.42284,0.614558,0.216461,0.160965,0.130531,0.0496706,0.122758,0.584997,0.219072,
0.406922,0.621293,0.196606,0.134243,0.121571,0.0531692,0.146348,0.601315,0.25084,
0.406922,0.621293,0.196606,0.134243,0.121571,0.0531692,0.146348,0.601315,0.25084,
0.371199,0.649508,0.179452,0.150332,0.107459,0.0524657,0.146308,0.597434,0.254696,
0.371199,0.649508,0.179452,0.150332,0.107459,0.0524657,0.146308,0.597434,0.254696,
0.359537,0.655076,0.1902,0.159011,0.0890532,0.0810791,0.128687,0.60193,0.29427,
0.375769,0.63889,0.209364,0.15293,0.108966,0.0562531,0.119801,0.589386,0.278489,
0.375769,0.63889,0.209364,0.15293,0.108966,0.0562531,0.119801,0.589386,0.278489,
0.375769,0.63889,0.209364,0.15293,0.108966,0.0562531,0.119801,0.589386,0.278489,
0.401211,0.649946,0.199566,0.16177,0.0945814,0.0611018,0.127479,0.57844,0.255514,
0.383165,0.625509,0.191687,0.173689,0.114455,0.0520805,0.158825,0.547821,0.286763,
0.383165,0.625509,0.191687,0.173689,0.114455,0.0520805,0.158825,0.547821,0.286763,
0.381726,0.618224,0.210106,0.161762,0.118162,0.0574895,0.171057,0.5591,0.225507,
0.3947,0.615405,0.203432,0.158877,0.105456,0.0738766,0.188274,0.521777,0.243006,
0.377557,0.613669,0.204059,0.152704,0.124454,0.0686978,0.188703,0.546014,0.241997,
0.377557,0.613669,0.204059,0.152704,0.124454,0.0686978,0.188703,0.546014,0.241997,
0.37862,0.639833,0.203119,0.155338,0.122378,0.0554324,0.213696,0.560364,0.218673,
0.400662,0.651886,0.225709,0.139427,0.108046,0.0673627,0.209225,0.574024,0.260081,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.390166,0.611935,0.233102,0.137171,0.105107,0.0603072,0.204735,0.521606,0.258599,
0.383692,0.622828,0.230204,0.133068,0.0972559,0.0832787,0.187636,0.491357,0.252552,
0.383692,0.622828,0.230204,0.133068,0.0972559,0.0832787,0.187636,0.491357,0.252552,
0.403192,0.626966,0.239702,0.122874,0.0964587,0.0898842,0.204845,0.460632,0.245422,
0.403192,0.626966,0.239702,0.122874,0.0964587,0.0898842,0.204845,0.460632,0.245422,
0.373847,0.619285,0.231103,0.115986,0.099494,0.0725581,0.208415,0.430407,0.272339,
0.390606,0.609075,0.22328,0.106488,0.105581,0.0633019,0.226251,0.436795,0.260035,
0.390606,0.609075,0.22328,0.106488,0.105581,0.0633019,0.226251,0.436795,0.260035,
0.373218,0.574696,0.242539,0.107798,0.106427,0.068461,0.213508,0.427772,0.259638,
0.373218,0.574696,0.242539,0.107798,0.106427,0.068461,0.213508,0.427772,0.259638,
0.376043,0.581096,0.238418,0.111517,0.09914,0.0602901,0.207635,0.433705,0.2347,
0.365605,0.579273,0.240896,0.087619,0.102643,0.0644902,0.214815,0.414961,0.23577,
0.365605,0.579273,0.240896,0.087619,0.102643,0.0644902,0.214815,0.414961,0.23577,
0.365605,0.579273,0.240896,0.087619,0.102643,0.0644902,0.214815,0.414961,0.23577,
0.365605,0.579273,0.240896,0.087619,0.102643,0.0644902,0.214815,0.414961,0.23577,
0.365605,0.579273,0.240896,0.087619,0.102643,0.0644902,0.214815,0.414961,0.23577,
0.376644,0.584134,0.264767,0.0949824,0.118351,0.0752925,0.223266,0.433783,0.267675,
0.386943,0.601257,0.274598,0.0939489,0.157531,0.0655929,0.214228,0.417335,0.282648,
0.376474,0.622821,0.280818,0.0887904,0.138144,0.0660429,0.202276,0.436044,0.294969,
0.376474,0.622821,0.280818,0.0887904,0.138144,0.0660429,0.202276,0.436044,0.294969,
0.376474,0.622821,0.280818,0.0887904,0.138144,0.0660429,0.202276,0.436044,0.294969,
0.389079,0.626535,0.285191,0.106161,0.1462,0.0706919,0.189446,0.454423,0.289986,
0.408287,0.627158,0.294957,0.0710945,0.144822,0.0734028,0.178403,0.508472,0.296808,
0.43077,0.650382,0.290662,0.0777142,0.147877,0.0912482,0.208131,0.494404,0.324013,
0.42256,0.659468,0.30621,0.0909059,0.164254,0.0903949,0.200702,0.444771,0.28938,
0.42256,0.659468,0.30621,0.0909059,0.164254,0.0903949,0.200702,0.444771,0.28938,
0.42256,0.659468,0.30621,0.0909059,0.164254,0.0903949,0.200702,0.444771,0.28938,
0.41699,0.63781,0.318624,0.0963974,0.125,0.086437,0.217299,0.510289,0.24646,
0.41699,0.63781,0.318624,0.0963974,0.125,0.086437,0.217299,0.510289,0.24646,
0.41699,0.63781,0.318624,0.0963974,0.125,0.086437,0.217299,0.510289,0.24646,
0.41699,0.63781,0.318624,0.0963974,0.125,0.086437,0.217299,0.510289,0.24646,
0.463804,0.663419,0.316861,0.102318,0.114571,0.0972434,0.226093,0.536288,0.257875,
0.451806,0.679952,0.291027,0.0959387,0.109692,0.105663,0.219219,0.547128,0.222088,
0.451806,0.679952,0.291027,0.0959387,0.109692,0.105663,0.219219,0.547128,0.222088,
0.430196,0.647498,0.27404,0.114076,0.100626,0.123255,0.222693,0.55088,0.230594,
0.430196,0.647498,0.27404,0.114076,0.100626,0.123255,0.222693,0.55088,0.230594,
0.430196,0.647498,0.27404,0.114076,0.100626,0.123255,0.222693,0.55088,0.230594,
0.422609,0.651714,0.262831,0.11408,0.117281,0.115624,0.223895,0.533259,0.239728,
0.422609,0.651714,0.262831,0.11408,0.117281,0.115624,0.223895,0.533259,0.239728,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.445245,0.641926,0.263981,0.119566,0.116179,0.0914844,0.229947,0.508578,0.250938,
0.470828,0.630921,0.24332,0.140831,0.136454,0.094999,0.200668,0.500681,0.24147,
0.453432,0.635355,0.238672,0.110482,0.149862,0.0800629,0.214086,0.487788,0.235473,
0.462671,0.674214,0.274062,0.125028,0.137307,0.0614707,0.221174,0.519769,0.242018,
0.466874,0.644743,0.24628,0.117112,0.15527,0.0667486,0.2354,0.516931,0.245296,
0.449642,0.66177,0.252568,0.0989579,0.143011,0.0649184,0.22038,0.503952,0.275016,
0.452201,0.674059,0.220195,0.10807,0.14853,0.0575361,0.193586,0.504161,0.28458,
0.452201,0.674059,0.220195,0.10807,0.14853,0.0575361,0.193586,0.504161,0.28458,
0.470995,0.666168,0.24099,0.100751,0.168462,0.0627314,0.180662,0.522689,0.241178,
0.442971,0.695658,0.257457,0.110897,0.144532,0.0635486,0.1765,0.493183,0.242703,
0.442971,0.695658,0.257457,0.110897,0.144532,0.0635486,0.1765,0.493183,0.242703,
0.401177,0.698972,0.239046,0.0990799,0.154817,0.0762335,0.171721,0.51173,0.272736,
0.401177,0.698972,0.239046,0.0990799,0.154817,0.0762335,0.171721,0.51173,0.272736,
0.401177,0.698972,0.239046,0.0990799,0.154817,0.0762335,0.171721,0.51173,0.272736,
0.400667,0.68851,0.188855,0.102952,0.171147,0.0793629,0.157423,0.556649,0.255551,
0.437584,0.654419,0.202514,0.0952969,0.175654,0.0801789,0.177164,0.522428,0.266199,
0.442838,0.650371,0.207242,0.104854,0.167101,0.0633457,0.184242,0.492437,0.282913,
0.442838,0.650371,0.207242,0.104854,0.167101,0.0633457,0.184242,0.492437,0.282913,
0.459233,0.65263,0.214353,0.0853665,0.168855,0.0775705,0.192871,0.484122,0.24829,
0.459233,0.65263,0.214353,0.0853665,0.168855,0.0775705,0.192871,0.484122,0.24829,
0.459233,0.65263,0.214353,0.0853665,0.168855,0.0775705,0.192871,0.484122,0.24829,
0.472334,0.656341,0.18598,0.101568,0.151397,0.0733833,0.192673,0.461164,0.267235,
0.472334,0.656341,0.18598,0.101568,0.151397,0.0733833,0.192673,0.461164,0.267235,
0.472334,0.656341,0.18598,0.101568,0.151397,0.0733833,0.192673,0.461164,0.267235,
0.463823,0.658671,0.246055,0.127247,0.145408,0.054079,0.194448,0.424595,0.270581,
0.446452,0.654686,0.232799,0.1315,0.137468,0.0685312,0.199235,0.398162,0.231071,
0.446452,0.654686,0.232799,0.1315,0.137468,0.0685312,0.199235,0.398162,0.231071,
0.449793,0.683418,0.234593,0.108301,0.129565,0.0904974,0.214837,0.418835,0.238531,
0.432722,0.683149,0.214181,0.118342,0.152595,0.0706578,0.191182,0.414727,0.229478,
0.432722,0.683149,0.214181,0.118342,0.152595,0.0706578,0.191182,0.414727,0.229478,
0.432722,0.683149,0.214181,0.118342,0.152595,0.0706578,0.191182,0.414727,0.229478,
0.432722,0.683149,0.214181,0.118342,0.152595,0.0706578,0.191182,0.414727,0.229478,
0.415509,0.659241,0.232345,0.121741,0.135125,0.0824776,0.193267,0.449981,0.25299,
0.415509,0.659241,0.232345,0.121741,0.135125,0.0824776,0.193267,0.449981,0.25299,
0.415509,0.659241,0.232345,0.121741,0.135125,0.0824776,0.193267,0.449981,0.25299,
0.421109,0.628783,0.212198,0.0954983,0.142031,0.0730609,0.192568,0.466343,0.260673,
0.425709,0.607138,0.209212,0.108861,0.136763,0.0703941,0.191975,0.454704,0.270809,
0.425709,0.607138,0.209212,0.108861,0.136763,0.0703941,0.191975,0.454704,0.270809,
0.425709,0.607138,0.209212,0.108861,0.136763,0.0703941,0.191975,0.454704,0.270809,
0.388247,0.650763,0.214149,0.106105,0.15041,0.0737578,0.200669,0.433971,0.268153,
0.401018,0.647242,0.192446,0.119908,0.138278,0.0888799,0.202972,0.418893,0.273701,
0.401018,0.647242,0.192446,0.119908,0.138278,0.0888799,0.202972,0.418893,0.273701,
0.414016,0.641365,0.195803,0.12007,0.135308,0.0897768,0.234391,0.445252,0.273129,
0.405391,0.66948,0.190321,0.122494,0.113477,0.105118,0.228996,0.473994,0.306241,
0.426304,0.681754,0.24077,0.129553,0.1242,0.099284,0.244329,0.535898,0.309582,
0.426304,0.681754,0.24077,0.129553,0.1242,0.099284,0.244329,0.535898,0.309582,
0.406443,0.70999,0.248373,0.119513,0.102816,0.10963,0.234714,0.53636,0.327061,
0.412997,0.690051,0.243539,0.125447,0.110338,0.110047,0.215774,0.53611,0.322694,
0.412997,0.690051,0.243539,0.125447,0.110338,0.110047,0.215774,0.53611,0.322694,
0.436699,0.709225,0.198413,0.123082,0.110844,0.12368,0.199356,0.531294,0.311185,
0.436699,0.709225,0.198413,0.123082,0.110844,0.12368,0.199356,0.531294,0.311185,
0.436699,0.709225,0.198413,0.123082,0.110844,0.12368,0.199356,0.531294,0.311185,
0.436699,0.709225,0.198413,0.123082,0.110844,0.12368,0.199356,0.531294,0.311185,
0.436699,0.709225,0.198413,0.123082,0.110844,0.12368,0.199356,0.531294,0.311185,
0.431398,0.732034,0.172157,0.119888,0.108427,0.102482,0.18858,0.562756,0.278335,
0.431398,0.732034,0.172157,0.119888,0.108427,0.102482,0.18858,0.562756,0.278335,
0.431398,0.732034,0.172157,0.119888,0.108427,0.102482,0.18858,0.562756,0.278335,
0.417668,0.726185,0.17649,0.128019,0.109531,0.0847588,0.150575,0.560801,0.308451,
0.417668,0.726185,0.17649,0.128019,0.109531,0.0847588,0.150575,0.560801,0.308451,
0.384578,0.719246,0.19674,0.12326,0.137451,0.0736789,0.150038,0.525934,0.315335,
0.384578,0.719246,0.19674,0.12326,0.137451,0.0736789,0.150038,0.525934,0.315335,
0.390782,0.733619,0.183537,0.162814,0.156982,0.0606919,0.140061,0.511279,0.275857,
0.390782,0.733619,0.183537,0.162814,0.156982,0.0606919,0.140061,0.511279,0.275857,
0.406661,0.723158,0.198027,0.146042,0.147399,0.0623239,0.169952,0.529334,0.303765,
0.406661,0.723158,0.198027,0.146042,0.147399,0.0623239,0.169952,0.529334,0.303765,
0.417305,0.714198,0.22158,0.130374,0.150466,0.0567878,0.172908,0.546306,0.285355,
0.412892,0.727585,0.232726,0.127317,0.161537,0.0469881,0.170826,0.533355,0.270274,
0.412892,0.727585,0.232726,0.127317,0.161537,0.0469881,0.170826,0.533355,0.270274,
0.412892,0.727585,0.232726,0.127317,0.161537,0.0469881,0.170826,0.533355,0.270274,
0.403228,0.726612,0.211965,0.120097,0.137215,0.0986232,0.138268,0.557923,0.285301,
0.405304,0.724856,0.202285,0.124829,0.121156,0.0788344,0.165064,0.536683,0.271262,
0.405304,0.724856,0.202285,0.124829,0.121156,0.0788344,0.165064,0.536683,0.271262,
0.397598,0.733932,0.186866,0.130459,0.115057,0.0623789,0.154562,0.523048,0.290786,
0.398861,0.730201,0.211189,0.152219,0.102808,0.0515846,0.166355,0.494661,0.303165,
